regression_id,outcome_id,characteristic_id,outcome,predictor,comparison,model,odds_ratio,lower_ci,upper_ci,p_value
41,2,6,High blood pressure,Smoking status,Former occasional smoker vs Lifetime abstainer,Unadjusted,1.3206553497061295,1.1020235456785603,1.58266178571846,0.00259548306934353
42,2,6,High blood pressure,Smoking status,Former daily smoker vs Lifetime abstainer,Unadjusted,2.047716769217247,1.8999910364836992,2.2069282888269535,2.603708432695361e-78
43,2,6,High blood pressure,Smoking status,Current occasional smoker vs Lifetime abstainer,Unadjusted,0.4649771860693275,0.3084351869822798,0.7009699045049983,2.5590893972408517e-4
44,2,6,High blood pressure,Smoking status,Current daily smoker vs Lifetime abstainer,Unadjusted,1.4114896776545385,1.257311482748461,1.5845740196137972,5.248483518735675e-9
45,2,7,High blood pressure,Income quintile,Quintile 4 vs Quintile 5 (highest),Unadjusted,1.050605309927745,0.9481238673363324,1.164163834783865,0.3458243101451627
46,2,7,High blood pressure,Income quintile,Quintile 3 vs Quintile 5 (highest),Unadjusted,1.171270061323445,1.0542550185915178,1.3012729675078485,0.00324271800991923
47,2,7,High blood pressure,Income quintile,Quintile 2 vs Quintile 5 (highest),Unadjusted,1.3373446673292455,1.2061678637665092,1.4827876060708811,3.428013953133345e-8
48,2,7,High blood pressure,Income quintile,Quintile 1 (lowest) vs Quintile 5 (highest),Unadjusted,1.5815713703034664,1.4264441011380855,1.7535688901989728,3.2970638607502062e-18
49,2,2,High blood pressure,Age group,35 to 49 vs 18 to 34,Adjusted,4.347536990505367,3.490461687000536,5.415065277526297,2.978133354044152e-39
50,2,2,High blood pressure,Age group,50 to 64 vs 18 to 34,Adjusted,14.50256909397438,11.808859567485818,17.810738549605798,1.0931022599184907e-142
51,2,2,High blood pressure,Age group,65 and older vs 18 to 34,Adjusted,32.103189125122995,26.30237505597839,39.183334197386934,2.215590876034908e-252
52,2,3,High blood pressure,Sex,Female vs Male,Adjusted,0.8805195904111662,0.8165974432250118,0.949445477120128,9.36444491678458e-4
53,2,4,High blood pressure,Education,"Secondary school, no post-secondary vs Post-secondary",Adjusted,1.1640929846340196,1.0590192727401695,1.2795918938923942,0.00164427000434548
54,2,4,High blood pressure,Education,Less than secondary school vs Post-secondary,Adjusted,1.1736065926497898,1.03965809456081,1.32481287984671,0.00962815047935695
55,2,5,High blood pressure,BMI group,Overweight / Obese vs Underweight / Normal weight,Adjusted,2.413358514797937,2.210059877332535,2.635358155081947,1.9754974595983012e-85
56,2,6,High blood pressure,Smoking status,Experimental smoker vs Lifetime abstainer,Adjusted,0.9289823334219478,0.816302182334752,1.057216548584678,0.26416245710488856
57,2,6,High blood pressure,Smoking status,Former occasional smoker vs Lifetime abstainer,Adjusted,0.8548177713604097,0.7047183984522466,1.036887108153304,0.11132088299636002
58,2,6,High blood pressure,Smoking status,Former daily smoker vs Lifetime abstainer,Adjusted,1.0524909558639155,0.9679723862922284,1.144389269634512,0.23098404953164672
59,2,6,High blood pressure,Smoking status,Current occasional smoker vs Lifetime abstainer,Adjusted,0.8117224784693592,0.5083224989142997,1.2962113293425657,0.3823775051791149
60,2,6,High blood pressure,Smoking status,Current daily smoker vs Lifetime abstainer,Adjusted,1.0493831141493086,0.9159829329193416,1.2022111773982906,0.4871291021064321
61,2,7,High blood pressure,Income quintile,Quintile 4 vs Quintile 5 (highest),Adjusted,1.1440511701322449,1.0198974487986563,1.283318319329717,0.02167048294065597
62,2,7,High blood pressure,Income quintile,Quintile 3 vs Quintile 5 (highest),Adjusted,1.1521554368691809,1.0220311632725472,1.298847039513624,0.02054000224587399
63,2,7,High blood pressure,Income quintile,Quintile 2 vs Quintile 5 (highest),Adjusted,1.27967821955536,1.1333269375306632,1.4449284591897118,6.906013372529561e-5
64,2,7,High blood pressure,Income quintile,Quintile 1 (lowest) vs Quintile 5 (highest),Adjusted,1.4142941702366931,1.252509281951564,1.5969765883482276,2.2480580779663384e-8
